,ko_id,gene_name,kegg_organism_code,uniprot_id
0,K00966,mmu:69080,mmu,Q922H4
0,K00966,mmu:331026,mmu,Q8BTZ7
0,K00966,rno:501167,rno,Q5XIC1
0,K00966,rno:363145,rno,A6I329
0,K00966,hgl:101716745,hgl,G5BZX1
0,K00966,hgl:101713073,hgl,A0A0N8ETQ1
0,K00966,cfa:100856660,cfa,A0A8C0SY08
0,K00966,cfa:608751,cfa,A0A8C0NFS9
0,K00966,tgu:100228462,tgu,A0A674HLF9
0,K00966,dre:445097,dre,F1R683
0,K00966,dre:431743,dre,Q6GMK8
0,K00966,dre:393469,dre,Q7SXP8
0,K00966,pret:103460868,pret,A0A3P9PHF0
0,K00966,pret:103464327,pret,A0A3P9QHR2
0,K00966,dme:Dmel_CG1129,dme,Q7JZB4
0,K00966,dme:Dmel_CG8207,dme,Q8SXU3
0,K00966,cel:CELE_Y47D9A.1,cel,Q9N4V3
0,K00966,cel:CELE_C42C1.5,cel,A3QMC8
0,K00966,ath:AT1G74910,ath,Q9C9P3
0,K00966,ath:AT2G04650,ath,A0A1P8AZM7
0,K00966,ath:AT2G39770,ath,O22287
0,K00966,ath:AT3G55590,ath,Q9M2S0
0,K00966,ath:AT4G30570,ath,Q8H1Q7
0,K00966,mtr:11405162,mtr,G7KGV6
0,K00966,mtr:11434430,mtr,G7KJH0
0,K00966,mtr:25489573,mtr,A0A072UZU5
0,K00966,osa:4327472,osa,Q941T9
0,K00966,osa:4332014,osa,A0A8J8YPL9
0,K00966,osa:4332373,osa,Q84JH5
0,K00966,osa:4345021,osa,Q6Z9A3
0,K00966,zma:100192721,zma,B4FCE5
0,K00966,zma:100274383,zma,B4G0L2
0,K00966,zma:100274471,zma,B4FEP8
0,K00966,zma:103651012,zma,C4JAC1
0,K00966,zma:100191571,zma,B4FQP6
0,K00966,smo:SELMODRAFT_168373,smo,D8R6R6
0,K00966,smo:SELMODRAFT_267755,smo,D8RTK5
0,K00966,smo:SELMODRAFT_104991,smo,D8RZ45
0,K00966,smo:SELMODRAFT_271290,smo,D8R6R6
0,K00966,smo:SELMODRAFT_182999,smo,D8SV91
0,K00966,smo:SELMODRAFT_185648,smo,D8T5L0
0,K00966,cre:CHLRE_16g672800v5,cre,A8J3F9
0,K00966,sce:YDL055C,sce,P41940
0,K00966,spo:SPBC13G1.02,spo,O60064
