,ko_id,gene_name,kegg_organism_code,uniprot_id,organisms_list
0,K01623,mcc:713818,mcc,A0A8J8Y7Z3,target_eukaryotes.csv
0,K01623,mcc:708406,mcc,F6SYL4,target_eukaryotes.csv
0,K01623,mmu:353204,mmu,A6ZI46,target_eukaryotes.csv
0,K01623,mmu:79459,mmu,A6ZI47,target_eukaryotes.csv
0,K01623,mmu:230163,mmu,Q91Y97,target_eukaryotes.csv
0,K01623,mmu:11676,mmu,P05063,target_eukaryotes.csv
0,K01623,mmu:11674,mmu,P05064,target_eukaryotes.csv
0,K01623,rno:299052,rno,A0A9K3Y7M7,target_eukaryotes.csv
0,K01623,rno:24189,rno,P05065,target_eukaryotes.csv
0,K01623,rno:24190,rno,A0A0G2K9U5,target_eukaryotes.csv
0,K01623,rno:24191,rno,P09117,target_eukaryotes.csv
0,K01623,maua:101839423,maua,A0A1U7QC12,target_eukaryotes.csv
0,K01623,maua:101835266,maua,A0A1U7QTF3,target_eukaryotes.csv
0,K01623,maua:101828733,maua,A0A1U8C2N2,target_eukaryotes.csv
0,K01623,hgl:101713582,hgl,G5ANC4,target_eukaryotes.csv
0,K01623,hgl:101710490,hgl,G5BVH5,target_eukaryotes.csv
0,K01623,cpoc:100725840,cpoc,H0W3T8,target_eukaryotes.csv
0,K01623,cpoc:100720708,cpoc,H0VLB4,target_eukaryotes.csv
0,K01623,cpoc:100730400,cpoc,A0A286Y5K0,target_eukaryotes.csv
0,K01623,cfa:480622,cfa,A0A8C0Z329,target_eukaryotes.csv
0,K01623,cfa:479787,cfa,A0A8P0NLY2,target_eukaryotes.csv
0,K01623,cfa:474787,cfa,A0A8C0QJ05,target_eukaryotes.csv
0,K01623,mpuf:101686529,mpuf,A0A8U0ST01,target_eukaryotes.csv
0,K01623,mpuf:101672579,mpuf,M3Y6B0,target_eukaryotes.csv
0,K01623,mpuf:101679550,mpuf,A0A8U0NAL1,target_eukaryotes.csv
0,K01623,fca:101098666,fca,A0A2I2V3I1,target_eukaryotes.csv
0,K01623,fca:101097025,fca,M3VWL2,target_eukaryotes.csv
0,K01623,gga:427308,gga,P07341,target_eukaryotes.csv
0,K01623,gga:395492,gga,R4GM10,target_eukaryotes.csv
0,K01623,tgu:100227328,tgu,H0YQW0,target_eukaryotes.csv
0,K01623,clv:102090461,clv,A0A2I0LLD5,target_eukaryotes.csv
0,K01623,acs:100557186,acs,H9GLQ2,target_eukaryotes.csv
0,K01623,acs:100567097,acs,H9GIU8,target_eukaryotes.csv
0,K01623,acs:100557803,acs,G1KTX7,target_eukaryotes.csv
0,K01623,xla:379254,xla,Q9DGE5,target_eukaryotes.csv
0,K01623,xla:379336,xla,O12975,target_eukaryotes.csv
0,K01623,xla:379489,xla,Q3KPP7,target_eukaryotes.csv
0,K01623,xla:380079,xla,Q9PSX0,target_eukaryotes.csv
0,K01623,xla:398623,xla,Q5XHC6,target_eukaryotes.csv
0,K01623,dre:792692,dre,Q4KMC8,target_eukaryotes.csv
0,K01623,dre:406496,dre,Q6P043,target_eukaryotes.csv
0,K01623,dre:369193,dre,Q8JH70,target_eukaryotes.csv
0,K01623,dre:336425,dre,Q803Q7,target_eukaryotes.csv
