,ko_id,gene_name,kegg_organism_code,uniprot_id,organisms_list
0,K00500,mcc:698696,mcc,A0A1D5QG49,target_eukaryotes.csv
0,K00500,mmu:18478,mmu,P16331,target_eukaryotes.csv
0,K00500,rno:24616,rno,F7FDL3,target_eukaryotes.csv
0,K00500,maua:101822550,maua,A0A1U7QKI4,target_eukaryotes.csv
0,K00500,cpoc:100719535,cpoc,H0VKI3,target_eukaryotes.csv
0,K00500,mpuf:101682831,mpuf,M3YKN3,target_eukaryotes.csv
0,K00500,fca:101081741,fca,A0A337S7G7,target_eukaryotes.csv
0,K00500,gga:408024,gga,Q6PKI8,target_eukaryotes.csv
0,K00500,clv:102092338,clv,A0A2I0MKK1,target_eukaryotes.csv
0,K00500,acs:100562752,acs,G1KSL1,target_eukaryotes.csv
0,K00500,xla:108711027,xla,A0A974DB38,target_eukaryotes.csv
0,K00500,xla:108713207,xla,A0A974D8Y9,target_eukaryotes.csv
0,K00500,dre:378962,dre,Q6PHI7,target_eukaryotes.csv
0,K00500,tru:446049,tru,Q6IVY7,target_eukaryotes.csv
0,K00500,pret:103459395,pret,A0A3P9NL51,target_eukaryotes.csv
0,K00500,nfu:107386776,nfu,A0A1A7ZAA0,target_eukaryotes.csv
0,K00500,bfo:118406655,bfo,A0A9J7KH37,target_eukaryotes.csv
0,K00500,dme:Dmel_CG7399,dme,P17276,target_eukaryotes.csv
0,K00500,dpx:DAPPUDRAFT_310424,dpx,E9FTL1,target_eukaryotes.csv
0,K00500,dpx:DAPPUDRAFT_220530,dpx,E9FTL2,target_eukaryotes.csv
0,K00500,cel:CELE_K08F8.4,cel,P90925,target_eukaryotes.csv
0,K00500,tad:TRIADDRAFT_32954,tad,B3SC11,target_eukaryotes.csv
0,K00500,aqu:100631768,aqu,A0A1X7VN82,target_eukaryotes.csv
0,K00500,ddi:DDB_G0278781,ddi,Q54XS1,target_eukaryotes.csv
0,K00500,tet:TTHERM_00829460,tet,Q23A76,target_eukaryotes.csv
0,K00500,tet:TTHERM_00997520,tet,Q23R09,target_eukaryotes.csv
0,K00500,tps:THAPSDRAFT_bd415,tps,B8LE69,target_eukaryotes.csv
0,K00500,ngr:NAEGRDRAFT_83319,ngr,D2VZV3,target_eukaryotes.csv
0,K00500,ngr:NAEGRDRAFT_83269,ngr,D2VTY3,target_eukaryotes.csv
0,K00500,ngr:NAEGRDRAFT_77920,ngr,D2UZG6,target_eukaryotes.csv
