,ko_id,gene_name,kegg_organism_code,uniprot_id,organisms_list
0,K01053,mcc:705733,mcc,F7CQV0,target_eukaryotes.csv
0,K01053,mmu:19733,mmu,Q64374,target_eukaryotes.csv
0,K01053,rno:25106,rno,Q03336,target_eukaryotes.csv
0,K01053,maua:101828858,maua,Q7TSW4,target_eukaryotes.csv
0,K01053,maua:106022119,maua,A0A1U8CG32,target_eukaryotes.csv
0,K01053,hgl:101714522,hgl,G5AZF6,target_eukaryotes.csv
0,K01053,mpuf:101683471,mpuf,A0A8U0MU34,target_eukaryotes.csv
0,K01053,fca:101096640,fca,A0A337SL03,target_eukaryotes.csv
0,K01053,gga:395480,gga,Q9I923,target_eukaryotes.csv
0,K01053,clv:102095943,clv,A0A2I0ML43,target_eukaryotes.csv
0,K01053,clv:102096126,clv,A0A2I0ML41,target_eukaryotes.csv
0,K01053,acs:100568168,acs,G1KLQ3,target_eukaryotes.csv
0,K01053,acs:100551599,acs,G1KWI6,target_eukaryotes.csv
0,K01053,xla:373659,xla,Q9I922,target_eukaryotes.csv
0,K01053,dre:403070,dre,Q6TLF6,target_eukaryotes.csv
0,K01053,amex:103028139,amex,A0A8B9JBX5,target_eukaryotes.csv
0,K01053,ola:101159881,ola,A0A3B3ILB1,target_eukaryotes.csv
0,K01053,nfu:107380842,nfu,A0A1A8AP47,target_eukaryotes.csv
0,K01053,bfo:118407281,bfo,A0A9J7HT74,target_eukaryotes.csv
0,K01053,bfo:118415670,bfo,A0A9J7L5I6,target_eukaryotes.csv
0,K01053,bfo:118419006,bfo,A0A9J7LF79,target_eukaryotes.csv
0,K01053,bfo:118419008,bfo,A0A9J7LE02,target_eukaryotes.csv
0,K01053,bfo:118419417,bfo,A0A9J7MUH7,target_eukaryotes.csv
0,K01053,cin:100184729,cin,F7AD34,target_eukaryotes.csv
0,K01053,tca:656355,tca,D6WJC9,target_eukaryotes.csv
0,K01053,tad:TRIADDRAFT_54463,tad,B3RS39,target_eukaryotes.csv
0,K01053,aqu:109580772,aqu,A0A1X7VCC6,target_eukaryotes.csv
0,K01053,ncr:NCU01866,ncr,Q7SHE0,target_eukaryotes.csv
0,K01053,ani:ANIA_08977,ani,Q5ARV3,target_eukaryotes.csv
0,K01053,cne:CNJ01840,cne,Q5KAG0,target_eukaryotes.csv
0,K01053,cng:CNAG_04753,cng,J9VXY3,target_eukaryotes.csv
0,K01053,scm:SCHCO_02716252,scm,D8QJB4,target_eukaryotes.csv
0,K01053,uma:UMAG_05603,uma,A0A0D1DVV3,target_eukaryotes.csv
0,K01053,ehx:EMIHUDRAFT_446776,ehx,R1CP15,target_eukaryotes.csv
0,K01053,ehx:EMIHUDRAFT_435448,ehx,R1CP15,target_eukaryotes.csv
0,K01053,ehx:EMIHUDRAFT_240728,ehx,R1E5B3,target_eukaryotes.csv
0,K01053,ehx:EMIHUDRAFT_211448,ehx,R1BYK3,target_eukaryotes.csv
0,K01053,ehx:EMIHUDRAFT_461722,ehx,R1DEY3,target_eukaryotes.csv
