,ko_id,gene_name,kegg_organism_code,uniprot_id,organisms_list
0,K03787,eco:b2744,eco,P0A840,target_prokaryotes.csv
0,K03787,sfl:SF2767,sfl,Q83JY2,target_prokaryotes.csv
0,K03787,kpn:KPN_03106,kpn,A6TD36,target_prokaryotes.csv
0,K03787,ype:YPO3358,ype,Q8ZBP9,target_prokaryotes.csv
0,K03787,hin:HI_0702,hin,P45681,target_prokaryotes.csv
0,K03787,vch:VC_0531,vch,Q9KUI9,target_prokaryotes.csv
0,K03787,pae:PA3625,pae,Q9HY05,target_prokaryotes.csv
0,K03787,aeo:O23A_p4481,aeo,A0A1Z1NWR8,target_prokaryotes.csv
0,K03787,ngo:NGO_1058,ngo,Q5F7V9,target_prokaryotes.csv
0,K03787,bpe:BP1719,bpe,Q7VXN2,target_prokaryotes.csv
0,K03787,ais:BUW96_07045,ais,A0A6S7EWH7,target_prokaryotes.csv
0,K03787,rle:RL2050,rle,Q1MHM1,target_prokaryotes.csv
0,K03787,hpy:HP_0930,hpy,O25584,target_prokaryotes.csv
0,K03787,tdn:Suden_1536,tdn,Q30QB8,target_prokaryotes.csv
0,K03787,cje:Cj0293,cje,Q9PIK6,target_prokaryotes.csv
0,K03787,cbo:CBO0233,cbo,A5HYC6,target_prokaryotes.csv
0,K03787,msm:MSMEG_6820,msm,A0R786,target_prokaryotes.csv
0,K03787,ana:alr3139,ana,Q8YSE9,target_prokaryotes.csv
0,K03787,ana:alr4846,ana,Q8YMT3,target_prokaryotes.csv
0,K03787,dra:DR_2397,dra,Q9RRT8,target_prokaryotes.csv
0,K03787,ctr:CT_218,ctr,O84220,target_prokaryotes.csv
0,K03787,tpa:TP_0419,tpa,O83434,target_prokaryotes.csv
0,K03787,bfr:BF0770,bfr,Q64YA5,target_prokaryotes.csv
0,K03787,tma:TM1662,tma,P96112,target_prokaryotes.csv
0,K03787,afu:AF_0942,afu,O29320,target_prokaryotes.csv
