,ko_id,gene_name,kegg_organism_code,uniprot_id,organisms_list
0,K01681,eco:b0771,eco,P75764,target_prokaryotes.csv
0,K01681,eco:b1276,eco,P25516,target_prokaryotes.csv
0,K01681,sfl:SF0892,sfl,A0A0H2UZP8,target_prokaryotes.csv
0,K01681,sfl:SF1280,sfl,A0A0H2VWM2,target_prokaryotes.csv
0,K01681,kpn:KPN_01272,kpn,A6T7Y4,target_prokaryotes.csv
0,K01681,ype:YPO2221,ype,A0A380PDG1,target_prokaryotes.csv
0,K01681,pae:PA1562,pae,Q9I3F5,target_prokaryotes.csv
0,K01681,bpe:BP2014,bpe,Q7VX12,target_prokaryotes.csv
0,K01681,ais:BUW96_11395,ais,A0A6S7F6I7,target_prokaryotes.csv
0,K01681,rri:A1G_06750,rri,A0A0H3AZH6,target_prokaryotes.csv
0,K01681,rle:RL4536,rle,Q1MAL8,target_prokaryotes.csv
0,K01681,bsu:BSU18000,bsu,P09339,target_prokaryotes.csv
0,K01681,ban:BA_3677,ban,A0A3P1U6Z0,target_prokaryotes.csv
0,K01681,sau:SA1184,sau,P99148,target_prokaryotes.csv
0,K01681,sac:SACOL1385,sac,Q5HG69,target_prokaryotes.csv
0,K01681,sep:SE_1032,sep,Q8CPC2,target_prokaryotes.csv
0,K01681,lmo:lmo1641,lmo,Q8Y6P3,target_prokaryotes.csv
0,K01681,lin:citB,lin,Q92B68,target_prokaryotes.csv
0,K01681,lla:L68478,lla,Q9CHQ5,target_prokaryotes.csv
0,K01681,cbo:CBO0418,cbo,A5HYW2,target_prokaryotes.csv
0,K01681,mtu:Rv1475c,mtu,O53166,target_prokaryotes.csv
0,K01681,msm:MSMEG_1112,msm,A0QRG9,target_prokaryotes.csv
0,K01681,msm:MSMEG_3143,msm,A0QX20,target_prokaryotes.csv
0,K01681,cdi:DIP1283,cdi,Q6NH63,target_prokaryotes.csv
0,K01681,cdo:CDOO_07470,cdo,A0A097IG52,target_prokaryotes.csv
0,K01681,pac:PPA1061,pac,Q6A8V4,target_prokaryotes.csv
0,K01681,sen:SACE_3754,sen,A4FG50,target_prokaryotes.csv
0,K01681,sen:SACE_3811,sen,A4FGA7,target_prokaryotes.csv
0,K01681,sen:SACE_4339,sen,A4FHT3,target_prokaryotes.csv
0,K01681,dra:DR_1720,dra,Q9RTN7,target_prokaryotes.csv
0,K01681,aba:Acid345_0224,aba,Q1IV71,target_prokaryotes.csv
0,K01681,bfr:BF3755,bfr,Q64PT4,target_prokaryotes.csv
