,ko_id,gene_name,kegg_organism_code,uniprot_id,organisms_list
0,K01958,rle:RL4638,rle,Q1MAB7,target_prokaryotes.csv
0,K01958,bsu:BSU14860,bsu,Q9KWU4,target_prokaryotes.csv
0,K01958,ban:BA_4157,ban,A0A6H3AL68,target_prokaryotes.csv
0,K01958,sau:SA0963,sau,A0A0H3JMA3,target_prokaryotes.csv
0,K01958,sac:SACOL1123,sac,A0A0H2WZK5,target_prokaryotes.csv
0,K01958,sep:SE_0813,sep,A0A0H2VFQ9,target_prokaryotes.csv
0,K01958,lmo:lmo1072,lmo,Q8Y846,target_prokaryotes.csv
0,K01958,lin:pycA,lin,Q92CW1,target_prokaryotes.csv
0,K01958,lla:L63652,lla,Q9CHQ7,target_prokaryotes.csv
0,K01958,efa:EF2456,efa,Q831P4,target_prokaryotes.csv
0,K01958,cbo:CBO3312,cbo,A5I737,target_prokaryotes.csv
0,K01958,mtu:Rv2967c,mtu,I6YEU0,target_prokaryotes.csv
0,K01958,msm:MSMEG_2412,msm,A0QV14,target_prokaryotes.csv
0,K01958,msm:MSMEG_6648,msm,A0R6R9,target_prokaryotes.csv
0,K01958,cdi:DIP0646,cdi,Q6NIX0,target_prokaryotes.csv
0,K01958,cdo:CDOO_03470,cdo,A0A097IE44,target_prokaryotes.csv
0,K01958,sen:SACE_6118,sen,A4FML6,target_prokaryotes.csv
