,ko_id,gene_name,kegg_organism_code,uniprot_id,organisms_list
0,K05810,eco:b2593,eco,P33644,target_prokaryotes.csv
0,K05810,sfl:SF2654,sfl,A0A384KG77,target_prokaryotes.csv
0,K05810,kpn:KPN_02115,kpn,A6TAC2,target_prokaryotes.csv
0,K05810,kpn:KPN_02916,kpn,A6TCK1,target_prokaryotes.csv
0,K05810,ype:YPO3276,ype,Q0WC12,target_prokaryotes.csv
0,K05810,hin:HI_0175,hin,P44552,target_prokaryotes.csv
0,K05810,vch:VC_0710,vch,Q9KU19,target_prokaryotes.csv
0,K05810,pae:PA1469,pae,Q9I3P3,target_prokaryotes.csv
0,K05810,pae:PA4543,pae,P33663,target_prokaryotes.csv
0,K05810,aeo:O23A_p3951,aeo,A0A1Z1NVC0,target_prokaryotes.csv
0,K05810,ngo:NGO_0281,ngo,Q5F9V7,target_prokaryotes.csv
0,K05810,bpe:BP1148,bpe,Q7VZ01,target_prokaryotes.csv
0,K05810,rri:A1G_03810,rri,A0A0H3AUT2,target_prokaryotes.csv
0,K05810,rle:RL3465,rle,Q1MDM4,target_prokaryotes.csv
0,K05810,tdn:Suden_0476,tdn,Q30TC4,target_prokaryotes.csv
0,K05810,cje:Cj1217c,cje,Q9PN78,target_prokaryotes.csv
0,K05810,bsu:BSU15370,bsu,O31726,target_prokaryotes.csv
0,K05810,ban:BA_4040,ban,A0A6H3AKN0,target_prokaryotes.csv
0,K05810,sau:SA1030,sau,Q7A617,target_prokaryotes.csv
0,K05810,sac:SACOL1200,sac,Q5HGP4,target_prokaryotes.csv
0,K05810,sep:SE_0862,sep,Q8CSX5,target_prokaryotes.csv
0,K05810,cbo:CBO2528,cbo,A5I4V9,target_prokaryotes.csv
0,K05810,mtu:Rv2149c,mtu,P9WKD5,target_prokaryotes.csv
0,K05810,msm:MSMEG_4221,msm,A0R010,target_prokaryotes.csv
0,K05810,cdi:DIP1594,cdi,Q6NGD2,target_prokaryotes.csv
0,K05810,cdo:CDOO_09405,cdo,A0A097IH76,target_prokaryotes.csv
0,K05810,pac:PPA0762,pac,Q6A9P8,target_prokaryotes.csv
0,K05810,sen:SACE_5834,sen,A4FLU3,target_prokaryotes.csv
0,K05810,ana:all5255,ana,Q8YLP1,target_prokaryotes.csv
0,K05810,dra:DR_1966,dra,Q9RT03,target_prokaryotes.csv
0,K05810,ctr:CT_056,ctr,O84059,target_prokaryotes.csv
0,K05810,bbu:BB_0467,bbu,O51423,target_prokaryotes.csv
0,K05810,aba:Acid345_4103,aba,Q1IJ47,target_prokaryotes.csv
0,K05810,fnu:FN1561,fnu,Q8RIL6,target_prokaryotes.csv
0,K05810,bfr:BF1122,bfr,Q64XA4,target_prokaryotes.csv
