,ko_id,gene_name,kegg_organism_code,uniprot_id,organisms_list
0,K00131,ath:AT2G24270,ath,Q1WIQ6,target_eukaryotes.csv
0,K00131,mtr:11423304,mtr,G7I8A4,target_eukaryotes.csv
0,K00131,mtr:11436321,mtr,G7JGT0,target_eukaryotes.csv
0,K00131,osa:4345685,osa,Q6Z9G0,target_eukaryotes.csv
0,K00131,bdi:100834031,bdi,I1I7E8,target_eukaryotes.csv
0,K00131,zma:542583,zma,Q43272,target_eukaryotes.csv
0,K00131,smo:SELMODRAFT_75347,smo,D8QQR8,target_eukaryotes.csv
0,K00131,smo:SELMODRAFT_77620,smo,D8QRR9,target_eukaryotes.csv
0,K00131,smo:SELMODRAFT_79174,smo,D8QW82,target_eukaryotes.csv
0,K00131,smo:SELMODRAFT_80113,smo,D8QXP9,target_eukaryotes.csv
0,K00131,smo:SELMODRAFT_270375,smo,D8QWI7,target_eukaryotes.csv
0,K00131,smo:SELMODRAFT_408399,smo,D8R863,target_eukaryotes.csv
0,K00131,smo:SELMODRAFT_95179,smo,D8RJ43,target_eukaryotes.csv
0,K00131,smo:SELMODRAFT_271106,smo,D8QWI7,target_eukaryotes.csv
0,K00131,smo:SELMODRAFT_232458,smo,D8RVD8,target_eukaryotes.csv
0,K00131,smo:SELMODRAFT_232965,smo,D8S237,target_eukaryotes.csv
0,K00131,smo:SELMODRAFT_112240,smo,D8SAN1,target_eukaryotes.csv
0,K00131,smo:SELMODRAFT_114645,smo,D8SDU4,target_eukaryotes.csv
