,ko_id,gene_name,kegg_organism_code,uniprot_id,organisms_list
0,K00696,ath:AT1G04920,ath,Q8RY24,target_eukaryotes.csv
0,K00696,ath:AT4G10120,ath,F4JLK2,target_eukaryotes.csv
0,K00696,ath:AT5G11110,ath,Q9FY54,target_eukaryotes.csv
0,K00696,ath:AT5G20280,ath,Q94BT0,target_eukaryotes.csv
0,K00696,mtr:11405889,mtr,G7IXI3,target_eukaryotes.csv
0,K00696,mtr:11446673,mtr,G7JFF2,target_eukaryotes.csv
0,K00696,mtr:11436613,mtr,G7KD49,target_eukaryotes.csv
0,K00696,osa:4350151,osa,Q53JI9,target_eukaryotes.csv
0,K00696,osa:4324364,osa,Q0JGK4,target_eukaryotes.csv
0,K00696,osa:4328527,osa,B7F7B9,target_eukaryotes.csv
0,K00696,osa:4341642,osa,Q67WN8,target_eukaryotes.csv
0,K00696,osa:4345220,osa,Q6ZHZ1,target_eukaryotes.csv
0,K00696,bdi:100831622,bdi,I1GVF7,target_eukaryotes.csv
0,K00696,bdi:100844859,bdi,I1HUL8,target_eukaryotes.csv
0,K00696,bdi:100825323,bdi,I1I2Q2,target_eukaryotes.csv
0,K00696,bdi:100828234,bdi,I1IMD8,target_eukaryotes.csv
0,K00696,zma:542711,zma,P31927,target_eukaryotes.csv
0,K00696,zma:103626734,zma,A0A1D6H2R7,target_eukaryotes.csv
0,K00696,zma:100384650,zma,A0A1D6LQW1,target_eukaryotes.csv
0,K00696,zma:103650849,zma,A0A1D6N358,target_eukaryotes.csv
0,K00696,zma:100501516,zma,A0A804NKR4,target_eukaryotes.csv
0,K00696,smo:SELMODRAFT_81492,smo,D8QZA5,target_eukaryotes.csv
0,K00696,smo:SELMODRAFT_91988,smo,D8REA5,target_eukaryotes.csv
0,K00696,smo:SELMODRAFT_148419,smo,D8RMM3,target_eukaryotes.csv
